AFFILIATION,TYPE,GROUP,Bremond_et_al_2005
CORE_DETAILS,depth,CORE_DETAILS,NA
CORE_DETAILS,stratum,CORE_DETAILS,NA
CORE_DETAILS,wt_gm,CORE_DETAILS,NA
CORE_DETAILS,LYCO_Batch,CORE_DETAILS,NA
CORE_DETAILS,LYCO_Count,CORE_DETAILS,NA
CORE_DETAILS,LYCO_n,CORE_DETAILS,NA
CORE_DETAILS,TODAL_diag,CORE_DETAILS,NA
CORE_DETAILS,TOTAL_Phyt,CORE_DETAILS,NA
DICOTYLEDONS,SPH_ORN,WOODY PLANTS,Rough spherical
DICOTYLEDONS,SPH_CMP,WOODY PLANTS,Non-diagnostic
ARECACEAE,SPH_ECH,PALMS,Crenate spherical
MONOCOTYLEDONS*,ACU_BUL,MONOCOTS,Point-shaped
POACEAE_CYPERACEAE,BUL_FLA,MONOCOTS,Fan-shaped
POACEAE,PAP,GRASSES,Cone-shaped
POACEAE,RON,GRASSES,Non-diagnostic
POACEAE,BIL,GRASSES,Dumbell
POACEAE,CRO,GRASSES_PANICOID,Cross
POACEAE,SAD,GRASSES_CHLORIDOID,Saddle
POACEAE*,ELO_SIN,ELONGATE_GRASSES,Non-diagnostic
POACEAE*,ELO_DET,ELONGATE_GRASSES,Non-diagnostic
POACEAE*,ELO_DEN,ELONGATE_GRASSES,Non-diagnostic
VARIOUS,SPH_PSI,UNDIFF,Smooth spherical
VARIOUS,ELO_ENT,UNDIFF,Non-diagnostic
VARIOUS,TRA_ANN,UNDIFF,NA
VARIOUS,TRA_PIT,UNDIFF,NA
VARIOUS,TRA_BOR,UNDIFF,NA
VARIOUS,BLO,UNDIFF,Fan-shaped
VARIOUS,UNDIFF,CORE_DETAILS,Non-diagnostic
CHARRED_DIAGNOSTIC,CHARRED,CORE_DETAILS,NA