FAMILY,TYPE,GROUP
CORE_DETAILS,depth,CORE_DETAILS
CORE_DETAILS,stratum,CORE_DETAILS
CORE_DETAILS,wt_gm,CORE_DETAILS
CORE_DETAILS,LYCO_Batch,CORE_DETAILS
CORE_DETAILS,LYCO_Count,CORE_DETAILS
CORE_DETAILS,LYCO_n,CORE_DETAILS
CORE_DETAILS,POLLEN_ALL,CORE_DETAILS
CORE_DETAILS,POLLEN_DIAG,CORE_DETAILS
CORE_DETAILS,IND_NID,CORE_DETAILS
CYPERACEAE,Cyperaceae,WETLAND_HERBS
TYPHACEAE,Typha,WETLAND_HERBS
POACEAE,Poaceae,GRASSES
OLEACEAE,Olea,TRADE_WIND
PINACEAE,Pinus,TRADE_WIND
AMAR,Amaranthaceae_Chenopodiaceae,XERIC
ASTERACEAE,Asteraceae_hs_undiff,XERIC
ASTERACEAE,Asteraceae_ls_undiff,XERIC
NYCTAGYNACEAE,Boerhavia,XERIC
MYRTACEAE,Syzygium,RIPARIAN_TREES-SHRUBS
AVICENNIACEAE,Avicennia,RIPARIAN_TREES-SHRUBS
COMBRETACEAE,Combretaceae-Melastomataceae undiff.,SUDANEO-GUINEAN_TREES-SHRUBS
CONVOLVULACEAE,Ipomoea,SUDANEO-GUINEAN_TREES-SHRUBS
CANNABACEAE,Celtis sp.,SUDANEO-GUINEAN_TREES-SHRUBS
CANNABACEAE,Trema orientalis,SUDANEO-GUINEAN_TREES-SHRUBS
FABACEAE-CAESALPINIOIDAE,Detarium,SUDANEO-GUINEAN_TREES-SHRUBS
FABACEAE-MIMOSOIDAE,Acacia,SUDANEO-GUINEAN_TREES-SHRUBS
MALVACEAE,Adansonia sp.,SUDANEO-GUINEAN_TREES-SHRUBS
RUBIACEAE,Spermacoce-type,SUDANEO-GUINEAN_TREES-SHRUBS
SAPINDACEAE,Dodonae-type,SUDANEO-GUINEAN_TREES-SHRUBS